date,open,high,low,close,volume,average,barCount
2012-06-22,236.56,241.44,235.6,240.8,11641.0,238.78,27916
2012-06-25,237.36,238.72,234.4,238.4,10394.0,236.696,26727
2012-06-26,238.32,239.28,235.44,238.48,8175.0,237.592,20618
2012-06-27,240.96,242.96,239.6,241.6,10505.0,241.408,22507
2012-06-28,239.52,240.16,232.16,236.0,16621.0,235.636,39190
2012-06-29,246.08,256.24,244.48,254.56,23560.0,250.98,52797
2012-07-02,251.44,253.6,246.56,251.44,21395.0,250.464,42580
2012-07-03,261.52,264.32,260.32,263.52,16114.0,262.412,38975
2012-07-05,261.52,264.64,259.76,260.96,10892.0,262.012,25214
2012-07-06,254.24,255.92,252.4,252.72,10649.0,253.844,25245
2012-07-09,253.76,259.68,253.28,257.36,8067.0,256.868,21352
2012-07-10,257.2,257.36,251.2,252.16,9764.0,254.22,23583
2012-07-11,255.6,259.6,254.24,258.64,14406.0,257.188,34937
2012-07-12,254.72,259.28,252.96,257.52,8745.0,255.964,21412
2012-07-13,259.12,262.96,259.12,261.44,5590.0,261.288,13608
2012-07-16,262.4,265.6,260.72,264.96,8226.0,263.272,16950
2012-07-17,267.2,268.32,262.4,267.04,10861.0,265.804,22831
2012-07-18,267.76,270.0,267.04,269.52,8249.0,268.828,20221
2012-07-19,273.92,278.72,273.68,277.12,13534.0,276.34,29592
2012-07-20,273.28,275.36,271.68,273.6,9992.0,273.532,23332
2012-07-23,264.16,268.24,262.64,264.0,11602.0,264.832,25518
2012-07-24,264.8,266.16,262.72,265.2,9874.0,264.532,20426
2012-07-25,264.72,267.04,259.6,265.68,10830.0,263.244,24775
2012-07-26,269.2,270.0,266.16,267.28,6138.0,267.736,14991
2012-07-27,268.08,277.28,267.04,269.36,6842.0,269.048,16942
2012-07-30,268.8,269.92,266.96,267.6,5719.0,268.272,13778
2012-07-31,267.6,268.08,261.2,261.44,10526.0,263.756,24662
2012-08-01,264.24,267.28,262.72,265.36,10823.0,265.38,23926
2012-08-02,260.72,264.32,259.68,260.8,8974.0,261.8,19497
2012-08-03,268.08,274.08,267.76,272.56,14187.0,271.808,34236
2012-08-06,271.6,275.84,271.2,275.36,8147.0,274.048,22108
2012-08-07,277.12,282.0,276.32,279.28,8226.0,279.088,19891
2012-08-08,280.24,282.96,277.6,278.96,6889.0,280.676,19730
2012-08-09,279.68,281.36,278.4,279.44,3344.0,279.748,10341
2012-08-10,275.84,278.96,274.72,278.8,4225.0,276.86,10864
2012-08-13,279.68,280.0,275.04,277.28,4561.0,277.304,12780
2012-08-14,279.12,280.72,277.76,279.36,4982.0,279.072,13121
2012-08-15,277.52,283.6,277.44,281.52,8783.0,280.768,21165
2012-08-16,282.64,286.08,281.36,284.48,7938.0,284.308,18221
2012-08-17,286.08,287.6,284.16,287.6,6144.0,286.356,14727
2012-08-20,286.56,287.04,283.92,286.64,6359.0,285.556,15254
2012-08-21,290.64,291.36,287.44,287.84,7686.0,289.712,14304
2012-08-22,287.76,290.4,287.28,289.76,8534.0,288.9,16728
2012-08-23,290.8,291.6,285.2,286.08,9752.0,288.688,17893
2012-08-24,287.44,289.36,284.88,285.44,5040.0,287.172,11410
